"pool_id","theory","stem_pool","study3_id","in_study3","appendix_final_id","mplus_column_id","in_mplus_final","mplus_removed","structural_drop_study3","substantive_action","substantive_note","structural_action","structural_criterion","structural_note","n_tech_residual_correlation","n_tech_low_R2","n_tech_low_loading","n_tech_cross_loading","final_status","manuscript_rationale","flagged_all_three_tech","flagged_one_or_two_tech"
"deontology05","deontology","...goes against moral rule by which I live","deontology05",TRUE,"deontology04","deontology05",TRUE,FALSE,FALSE,"probed_no_change",NA,NA,NA,NA,2,0,0,0,"retained","Retained in final ESTA.",FALSE,TRUE
"deontology06","deontology","...moral obligation to act otherwise",NA,FALSE,"deontology05",NA,FALSE,FALSE,FALSE,"not_probed",NA,NA,NA,NA,0,0,0,0,"not_fielded_study3",NA,FALSE,FALSE
"deontology07","deontology","PROBING: respect in interactions (deleted before Study 3)",NA,FALSE,NA,NA,FALSE,FALSE,FALSE,"deleted","Respect in interactions: participants confused about 'treatment with respect'.",NA,NA,NA,0,0,0,0,"deleted_substantive","Respect in interactions: participants confused about 'treatment with respect'.",FALSE,FALSE
"deontology08","deontology","PROBING: dignity in interactions (deleted before Study 3)",NA,FALSE,NA,NA,FALSE,FALSE,FALSE,"deleted","Dignity in interactions: uncertainty about dignity; relevance to SAI questioned.",NA,NA,NA,0,0,0,0,"deleted_substantive","Dignity in interactions: uncertainty about dignity; relevance to SAI questioned.",FALSE,FALSE
"deontology09","deontology","...intrinsic value of nature","deontology06",TRUE,"deontology06","deontology06",TRUE,FALSE,FALSE,"probed_no_change",NA,NA,NA,NA,3,0,0,0,"retained","Retained in final ESTA.",TRUE,FALSE
"deontology10","deontology","...value of the ecological environment","deontology07",TRUE,NA,"deontology07",FALSE,TRUE,TRUE,"not_probed",NA,"deleted","residual_correlation","Strong residual correlation with deontology06 (nature); ecological environment item.",3,0,0,0,"deleted_structural","Strong residual correlation with deontology06 (nature); ecological environment item.",TRUE,FALSE
"deontology11","deontology","...value of the cultural environment","deontology08",TRUE,"deontology07","deontology08",TRUE,FALSE,FALSE,"not_probed",NA,NA,NA,NA,2,0,0,0,"retained","Retained in final ESTA.",FALSE,TRUE
"virtue01","virtue","...wrong / good motivations (developer)","virtue01",TRUE,"virtue01","virtue01",TRUE,FALSE,FALSE,"probed_no_change",NA,NA,NA,NA,3,0,0,0,"retained","Retained in final ESTA.",TRUE,FALSE
"virtue02","virtue","...wrong / good desires (developer)","virtue02",TRUE,"virtue02","virtue02",TRUE,FALSE,FALSE,"not_probed",NA,NA,NA,NA,2,0,0,0,"retained","Retained in final ESTA.",FALSE,TRUE
"virtue03","virtue","...bad / good character (developer)","virtue03",TRUE,"virtue03","virtue03",TRUE,FALSE,FALSE,"not_probed",NA,NA,NA,NA,1,0,0,0,"retained","Retained in final ESTA.",FALSE,TRUE
"virtue04","virtue","...not prudent / prudent (developer)","virtue04",TRUE,"virtue04","virtue04",TRUE,FALSE,FALSE,"not_probed",NA,NA,NA,NA,2,0,0,0,"retained","Retained in final ESTA.",FALSE,TRUE
"virtue05","virtue","...not reasonable / reasonable (developer)","virtue05",TRUE,"virtue05","virtue05",TRUE,FALSE,FALSE,"not_probed",NA,NA,NA,NA,3,0,0,0,"retained","Retained in final ESTA.",TRUE,FALSE
"virtue06","virtue","...not striving for professional excellence","virtue06",TRUE,NA,"virtue06",FALSE,TRUE,TRUE,"not_probed",NA,"deleted","low_R2","Lowest R²; within-factor residual correlations (professional excellence).",3,0,0,0,"deleted_structural","Lowest R²; within-factor residual correlations (professional excellence).",TRUE,FALSE
"virtue07","virtue","...indifferent / respectful towards nature","virtue07",TRUE,NA,"virtue07",FALSE,TRUE,TRUE,"not_probed",NA,"deleted","cross_loading","Cross-loadings to Deontology and Utilitarianism (respectful towards nature).",3,0,0,0,"deleted_structural","Cross-loadings to Deontology and Utilitarianism (respectful towards nature).",TRUE,FALSE
"virtue08","virtue","...insensitive / sensitive to society","virtue08",TRUE,"virtue06","virtue08",TRUE,FALSE,FALSE,"not_probed",NA,NA,NA,NA,3,0,0,0,"retained","Retained in final ESTA.",TRUE,FALSE
"virtue09","virtue","...ill / good intentions (developer)","virtue09",TRUE,"virtue07","virtue09",TRUE,FALSE,FALSE,"probed_no_change",NA,NA,NA,NA,3,0,0,0,"retained","Retained in final ESTA.",TRUE,FALSE
