"item","k","expected_vocab","pct_of_full_vocab"
"deontology03",5,75.68,0.228640483383686
"deontology03",6,88.318,0.266821752265861
"deontology03",7,102.248,0.308906344410876
"deontology03",8,114.936,0.347238670694864
"deontology03",9,127.2,0.38429003021148
"deontology03",10,137.51,0.415438066465257
"deontology03",11,149.424,0.451432024169184
"deontology03",12,161.87,0.489033232628399
"deontology03",13,172.176,0.52016918429003
"deontology03",14,183.096,0.553160120845921
"deontology03",15,192.438,0.581383685800604
"deontology03",16,201.426,0.608537764350453
"deontology03",17,214.58,0.648277945619335
"deontology03",18,223.794,0.676114803625378
"deontology03",19,234.198,0.707546827794562
"deontology03",20,242.212,0.7317583081571
"deontology03",21,252.106,0.761649546827795
"deontology03",22,260.13,0.785891238670695
"deontology03",23,269.028,0.812773413897281
"deontology03",24,279.488,0.844374622356496
"deontology03",25,288.886,0.872767371601209
"deontology03",26,297.172,0.897800604229607
"deontology03",27,305.304,0.922368580060423
"deontology03",28,314.126,0.949021148036254
"deontology03",29,322.794,0.975208459214501
"deontology03",30,331,1
"deontology04",2,38.364,0.0924433734939759
"deontology04",3,55.872,0.134631325301205
"deontology04",4,73.302,0.176631325301205
"deontology04",5,88.586,0.213460240963855
"deontology04",6,107.356,0.258689156626506
"deontology04",7,118.486,0.28550843373494
"deontology04",8,135.734,0.327069879518072
"deontology04",9,151.296,0.364568674698795
"deontology04",10,162.596,0.391797590361446
"deontology04",11,178.496,0.430110843373494
"deontology04",12,194.606,0.468930120481928
"deontology04",13,207.606,0.500255421686747
"deontology04",14,216.184,0.520925301204819
"deontology04",15,235.972,0.568607228915663
"deontology04",16,242.078,0.583320481927711
"deontology04",17,254.964,0.61437108433735
"deontology04",18,267.824,0.645359036144578
"deontology04",19,276.448,0.666139759036145
"deontology04",20,291.572,0.70258313253012
"deontology04",21,301.332,0.726101204819277
"deontology04",22,311.17,0.749807228915663
"deontology04",23,322.944,0.778178313253012
"deontology04",24,332.668,0.801609638554217
"deontology04",25,347.664,0.837744578313253
"deontology04",26,357.174,0.860660240963855
"deontology04",27,366.328,0.882718072289157
"deontology04",28,376.598,0.907465060240964
"deontology04",29,385.712,0.929426506024096
"deontology04",30,395.002,0.951812048192771
"deontology04",31,405.652,0.977474698795181
"deontology04",32,415,1
"deontology05",2,30.218,0.0977928802588997
"deontology05",3,45.458,0.147113268608414
"deontology05",4,59.272,0.191818770226537
"deontology05",5,71.268,0.230640776699029
"deontology05",6,85.5,0.276699029126214
"deontology05",7,96.468,0.312194174757282
"deontology05",8,108.622,0.351527508090615
"deontology05",9,120.972,0.391495145631068
"deontology05",10,131.29,0.424886731391586
"deontology05",11,142.374,0.460757281553398
"deontology05",12,155.894,0.504511326860841
"deontology05",13,164.136,0.531184466019417
"deontology05",14,172.844,0.55936569579288
"deontology05",15,183.814,0.594867313915858
"deontology05",16,194.64,0.629902912621359
"deontology05",17,205.402,0.66473139158576
"deontology05",18,213.694,0.691566343042071
"deontology05",19,223.864,0.724478964401295
"deontology05",20,231.8,0.750161812297735
"deontology05",21,239.958,0.776563106796117
"deontology05",22,250.222,0.809779935275081
"deontology05",23,258.372,0.836155339805825
"deontology05",24,267.558,0.865883495145631
"deontology05",25,276.036,0.893320388349515
"deontology05",26,284.152,0.919585760517799
"deontology05",27,292.68,0.947184466019418
"deontology05",28,301.174,0.974673139158576
"deontology05",29,309,1
"deontology07",2,28.85,0.0910094637223975
"deontology07",3,42.46,0.133943217665615
"deontology07",4,55.094,0.17379810725552
"deontology07",5,67.434,0.212725552050473
"deontology07",6,78.696,0.248252365930599
"deontology07",7,90.528,0.285577287066246
"deontology07",8,101.59,0.320473186119874
"deontology07",9,111.75,0.352523659305994
"deontology07",10,124.702,0.393381703470032
"deontology07",11,132.642,0.418429022082019
"deontology07",12,144.18,0.454826498422713
"deontology07",13,154.544,0.487520504731861
"deontology07",14,166.314,0.524649842271293
"deontology07",15,175.04,0.55217665615142
"deontology07",16,183.472,0.578776025236593
"deontology07",17,193.74,0.611167192429022
"deontology07",18,200.914,0.63379810725552
"deontology07",19,210.376,0.663646687697161
"deontology07",20,219.692,0.693034700315457
"deontology07",21,229.344,0.723482649842271
"deontology07",22,238.186,0.751375394321767
"deontology07",23,245.234,0.773608832807571
"deontology07",24,254.466,0.802731861198738
"deontology07",25,262.454,0.827930599369085
"deontology07",26,271.24,0.855646687697161
"deontology07",27,278.1,0.877287066246057
"deontology07",28,286.96,0.905236593059937
"deontology07",29,294.7,0.929652996845426
"deontology07",30,302.284,0.953577287066246
"deontology07",31,309.452,0.97618927444795
"deontology07",32,317,1
"deontology08",2,37.44,0.0765644171779141
"deontology08",3,55.47,0.113435582822086
"deontology08",4,73.092,0.149472392638037
"deontology08",5,88.368,0.180711656441718
"deontology08",6,105.216,0.215165644171779
"deontology08",7,122.802,0.251128834355828
"deontology08",8,136.714,0.27957873210634
"deontology08",9,152.554,0.311971370143149
"deontology08",10,163.274,0.333893660531697
"deontology08",11,182.48,0.373169734151329
"deontology08",12,192.964,0.394609406952965
"deontology08",13,207.576,0.424490797546012
"deontology08",14,224.31,0.458711656441718
"deontology08",15,230.81,0.47200408997955
"deontology08",16,246.7,0.504498977505112
"deontology08",17,258.57,0.528773006134969
"deontology08",18,271.382,0.554973415132924
"deontology08",19,282.584,0.577881390593047
"deontology08",20,295.112,0.603501022494888
"deontology08",21,308.982,0.631865030674847
"deontology08",22,319.39,0.653149284253579
"deontology08",23,330.42,0.675705521472393
"deontology08",24,342.878,0.70118200408998
"deontology08",25,353.142,0.722171779141104
"deontology08",26,366.852,0.750208588957055
"deontology08",27,379.442,0.775955010224949
"deontology08",28,389.084,0.795672801635992
"deontology08",29,397.346,0.812568507157464
"deontology08",30,407.152,0.832621676891615
"deontology08",31,416.918,0.852593047034765
"deontology08",32,429.47,0.878261758691207
"deontology08",33,441.246,0.902343558282209
"deontology08",34,449.774,0.919783231083845
"deontology08",35,458.948,0.938543967280164
"deontology08",36,469.434,0.95998773006135
"deontology08",37,478.946,0.979439672801636
"deontology08",38,489,1
"deontology09",2,48.89,0.0999795501022495
"deontology09",3,70.93,0.145051124744376
"deontology09",4,92.49,0.189141104294479
"deontology09",5,115.586,0.236372188139059
"deontology09",6,132.564,0.271092024539877
"deontology09",7,153.344,0.31358691206544
"deontology09",8,172.17,0.352085889570552
"deontology09",9,191.822,0.392274028629857
"deontology09",10,206.99,0.423292433537832
"deontology09",11,225.118,0.460364008179959
"deontology09",12,238.37,0.487464212678937
"deontology09",13,260.07,0.531840490797546
"deontology09",14,276.566,0.565574642126789
"deontology09",15,293.622,0.600453987730061
"deontology09",16,306.15,0.626073619631902
"deontology09",17,321.968,0.658421267893661
"deontology09",18,338.89,0.693026584867076
"deontology09",19,352.738,0.721345603271984
"deontology09",20,367.302,0.751128834355828
"deontology09",21,377.92,0.772842535787321
"deontology09",22,395.974,0.809762781186094
"deontology09",23,411.714,0.841950920245399
"deontology09",24,423.076,0.86518609406953
"deontology09",25,436.328,0.892286298568507
"deontology09",26,448.704,0.91759509202454
"deontology09",27,463.322,0.947488752556237
"deontology09",28,476.952,0.975361963190184
"deontology09",29,489,1
"hedonism01",2,37.432,0.0778212058212058
"hedonism01",3,56.414,0.117284823284823
"hedonism01",4,72.816,0.151384615384615
"hedonism01",5,88.858,0.184735966735967
"hedonism01",6,104.594,0.217451143451143
"hedonism01",7,121.168,0.251908523908524
