"lhs","op","rhs","est","ci.lower","ci.upper","Df","AIC","BIC","Chisq","Chisq diff","Df diff","Pr(>Chisq)","technology","test"
"Contractualism","~~","Virtue",0.660803361006951,0.572120610833423,0.749486111180478,692,34018.8693758841,34487.973357512,2418.27360362096,2068.4350219257,5,0,"NPP","factor_merge"
"Contractualism","~~","Relativism",0.686499516368132,0.588407658629693,0.784591374106572,692,33940.779259099,34409.8832407269,2340.18348683589,1507.8922913225,5,4.94065645841247e-324,"NPP","factor_merge"
"Deontology","~~","Virtue",0.694229907319495,0.610471215263799,0.777988599375191,692,33721.5258395388,34190.6298211667,2120.93006727569,427.9427923669,5,2.80764171901731e-90,"NPP","factor_merge"
"Deontology","~~","Relativism",0.773456755684582,0.701141782900606,0.845771728468558,692,33530.6863223266,33999.7903039546,1930.0905500635,216.8312809812,5,7.09058481504925e-45,"NPP","factor_merge"
"Virtue","~~","Relativism",0.607499233220769,0.510826475126497,0.70417199131504,692,34091.2739268419,34560.3779084698,2490.67815457876,NA,5,NA,"NPP","factor_merge"
"Hedonism","~~","Utilitarianism",0.765309224667203,0.694136475161788,0.836481974172618,688,33911.6120756453,34395.4909858285,1520.02389924415,39.4200324868,1,3.41772715870848e-10,"SR","r_fixed_0.9"
"Hedonism","~~","Contractualism",0.74902837675542,0.668489903820282,0.82956684969056,688,33915.4926394499,34399.371549633,1523.90446304871,37.6269462153,1,8.56530256988586e-10,"SR","r_fixed_0.9"
"Hedonism","~~","Deontology",0.753400706769977,0.675229940277635,0.831571473262319,688,33911.6612429327,34395.5401531158,1520.07306653149,25.8990950812,1,3.59737745908181e-07,"SR","r_fixed_0.9"
"Hedonism","~~","Virtue",0.565892742134558,0.445743962680953,0.686041521588162,688,34022.6146741359,34506.493584319,1631.02649773469,451.4977917315,1,3.4053036789039e-100,"SR","r_fixed_0.9"
"Hedonism","~~","Relativism",0.731956231008807,0.640521225947191,0.823391236070424,688,33926.7297735239,34410.608683707,1535.14159712271,65.069192435,1,7.23138135228717e-16,"SR","r_fixed_0.9"
"Utilitarianism","~~","Contractualism",0.774484458337993,0.704405079092598,0.844563837583387,688,33906.7445119373,34390.6234221204,1515.15633553609,38.1393341284,1,6.58688130195674e-10,"SR","r_fixed_0.9"
"Utilitarianism","~~","Deontology",0.770587455232152,0.69721421793703,0.843960692527273,688,33907.777339636,34391.6562498191,1516.1891632348,30.4299855641,1,3.46136143717327e-08,"SR","r_fixed_0.9"
"Utilitarianism","~~","Virtue",0.630445420855247,0.525703474472199,0.735187367238294,688,33992.6756649427,34476.5545751259,1601.08748854155,384.896778903,1,1.06874286830541e-85,"SR","r_fixed_0.9"
"Utilitarianism","~~","Relativism",0.703616820143335,0.615480783991924,0.791752856294747,688,33949.4731789871,34433.3520891702,1557.88500258589,186.5022663886,1,1.84436646731754e-42,"SR","r_fixed_0.9"
"Contractualism","~~","Deontology",0.825700733626104,0.75897436318283,0.892427104069379,688,33879.1773012597,34363.0562114429,1487.58912485855,8.6266952132,1,0.00331272011652621,"SR","r_fixed_0.9"
"Contractualism","~~","Virtue",0.614832447363739,0.518191502741895,0.711473391985584,688,33994.5691949949,34478.4481051781,1602.98101859375,181.4138130422,1,2.3808613003678e-41,"SR","r_fixed_0.9"
"Contractualism","~~","Relativism",0.716540295173497,0.632495425487832,0.800585164859163,688,33935.7286352262,34419.6075454093,1544.14045882497,92.1583165748,1,8.00124583803632e-22,"SR","r_fixed_0.9"
"Deontology","~~","Virtue",0.632205936718679,0.538427123003449,0.725984750433909,688,33981.900080798,34465.7789909812,1590.31190439684,93.4954417851,1,4.07137063264708e-22,"SR","r_fixed_0.9"
"Deontology","~~","Relativism",0.726798312605133,0.650813452812581,0.802783172397684,688,33928.386601623,34412.2655118062,1536.79842522184,86.5855919592,1,1.33818528892649e-20,"SR","r_fixed_0.9"
"Virtue","~~","Relativism",0.517966336185002,0.405315212922817,0.630617459447188,688,34053.3471382961,34537.2260484792,1661.75896189491,1035.1990918583,1,4.01220364864495e-227,"SR","r_fixed_0.9"
"Hedonism","~~","Utilitarianism",0.765309224667203,0.694136475161788,0.836481974172618,692,34421.1499213238,34890.2539029518,2037.56174492264,250.1615604789,5,5.07521798162485e-52,"SR","factor_merge"
"Hedonism","~~","Contractualism",0.74902837675542,0.668489903820282,0.82956684969056,692,34312.4943868785,34781.5983685064,1928.90621047733,194.5647792478,5,4.12942102733328e-40,"SR","factor_merge"
"Hedonism","~~","Deontology",0.753400706769977,0.675229940277635,0.831571473262319,692,34269.0956523611,34738.1996339891,1885.50747595997,127.1675399372,5,9.4952696031929e-26,"SR","factor_merge"
"Hedonism","~~","Virtue",0.565892742134558,0.445743962680953,0.686041521588162,692,34836.9422810387,35306.0462626666,2453.35410463748,1075.0832998177,5,3.32522439270667e-230,"SR","factor_merge"
"Hedonism","~~","Relativism",0.731956231008807,0.640521225947191,0.823391236070424,692,34421.2615970874,34890.3655787153,2037.67342068619,234.8661909639,5,9.68366237345575e-49,"SR","factor_merge"
"Utilitarianism","~~","Contractualism",0.774484458337993,0.704405079092598,0.844563837583387,692,34454.2049602961,34923.3089419241,2070.61678389497,242.1368743929,5,2.67254834455628e-50,"SR","factor_merge"
"Utilitarianism","~~","Deontology",0.770587455232152,0.69721421793703,0.843960692527273,692,34398.669617414,34867.7735990419,2015.08144101283,201.011913944,5,1.72557698186797e-41,"SR","factor_merge"
"Utilitarianism","~~","Virtue",0.630445420855247,0.525703474472199,0.735187367238294,692,34981.0961839135,35450.2001655414,2597.50800751232,567.8760991028,5,1.76101620355879e-120,"SR","factor_merge"
"Utilitarianism","~~","Relativism",0.703616820143335,0.615480783991924,0.791752856294747,692,34702.1099655078,35171.2139471357,2318.52178910659,380.2288332631,5,5.403390460977e-80,"SR","factor_merge"
"Contractualism","~~","Deontology",0.825700733626104,0.75897436318283,0.892427104069379,692,34120.2218580095,34589.3258396375,1736.63368160834,102.3988112905,5,1.64930959337806e-20,"SR","factor_merge"
"Contractualism","~~","Virtue",0.614832447363739,0.518191502741895,0.711473391985584,692,34815.4513820423,35284.5553636703,2431.86320564115,3250.6822725781,5,0,"SR","factor_merge"
"Contractualism","~~","Relativism",0.716540295173497,0.632495425487832,0.800585164859163,692,34490.2391696772,34959.3431513051,2106.65099327601,251.8189478716,5,2.23782026244088e-52,"SR","factor_merge"
"Deontology","~~","Virtue",0.632205936718679,0.538427123003449,0.725984750433909,692,34680.6799884467,35149.7839700747,2297.09181204556,459.7666234527,5,3.8406249719911e-97,"SR","factor_merge"
"Deontology","~~","Relativism",0.726798312605133,0.650813452812581,0.802783172397684,692,34419.3101063564,34888.4140879843,2035.72192995522,274.0428787564,5,3.78998187326966e-57,"SR","factor_merge"
"Virtue","~~","Relativism",0.517966336185002,0.405315212922817,0.630617459447188,692,35049.9976398706,35519.1016214986,2666.40946346943,1196.7794498942,5,1.46410634198663e-256,"SR","factor_merge"
"Hedonism","~~","Utilitarianism",0.779783357428044,0.71382144802993,0.845745266826158,688,32546.7920119508,33030.670922134,1464.13151703967,26.5925941271,1,2.51204842115305e-07,"SAI_narrative","r_fixed_0.9"
"Hedonism","~~","Contractualism",0.703271576246538,0.614943437717048,0.791599714776027,688,32586.6757927303,33070.5547029135,1504.0152978192,81.3961733955,1,1.84715251848212e-19,"SAI_narrative","r_fixed_0.9"
"Hedonism","~~","Deontology",0.786142244864512,0.712555767217457,0.859728722511568,688,32536.8145061036,33020.6934162868,1454.15401119248,21.2237791239,1,4.08662803079028e-06,"SAI_narrative","r_fixed_0.9"
"Hedonism","~~","Virtue",0.546529547011283,0.43753438663987,0.655524707382697,688,32673.6820618356,33157.5609720188,1591.02156692448,234.8718345561,1,5.16325947530088e-53,"SAI_narrative","r_fixed_0.9"
"Hedonism","~~","Relativism",0.742785249102314,0.66767042594236,0.817900072262269,688,32564.8340456114,33048.7129557946,1482.17355070027,57.1348860171,1,4.06923052394017e-14,"SAI_narrative","r_fixed_0.9"
"Utilitarianism","~~","Contractualism",0.766075587172074,0.693699575825998,0.83845159851815,688,32556.4208825852,33040.2997927684,1473.76038767407,44.6046708448,1,2.41115752327429e-11,"SAI_narrative","r_fixed_0.9"
"Utilitarianism","~~","Deontology",0.809814676274555,0.741008403520408,0.878620949028702,688,32529.4860599931,33013.3649701763,1446.82556508198,15.5809867467,1,7.90454600836988e-05,"SAI_narrative","r_fixed_0.9"
"Utilitarianism","~~","Virtue",0.560223689766879,0.441041839836666,0.679405539697091,688,32673.8869247739,33157.7658349571,1591.2264298628,1059.7107791736,1,1.88653827170244e-232,"SAI_narrative","r_fixed_0.9"
"Utilitarianism","~~","Relativism",0.790161477577513,0.729943578064038,0.850379377090987,688,32543.3575226443,33027.2364328274,1460.69702773314,40.8753220948,1,1.62257160931159e-10,"SAI_narrative","r_fixed_0.9"
"Contractualism","~~","Deontology",0.800843647561447,0.72412933169855,0.877557963424345,688,32531.8634869893,33015.7423971725,1449.2029920782,15.3525514161,1,8.92003876754698e-05,"SAI_narrative","r_fixed_0.9"
"Contractualism","~~","Virtue",0.527459310405305,0.415817173850495,0.639101446960115,688,32688.6006756736,33172.4795858567,1605.94018076244,703.9521184692,1,4.1332669173489e-155,"SAI_narrative","r_fixed_0.9"
"Contractualism","~~","Relativism",0.726751514336688,0.64871500011,0.804788028563377,688,32576.8748433365,33060.7537535197,1494.21434842538,71.8814384323,1,2.28523474739613e-17,"SAI_narrative","r_fixed_0.9"
"Deontology","~~","Virtue",0.676303257759267,0.591731802578064,0.76087471294047,688,32593.136152519,33077.0150627021,1510.47565760785,62.6404865976,1,2.48100490953171e-15,"SAI_narrative","r_fixed_0.9"
"Deontology","~~","Relativism",0.728509417870082,0.630658715098207,0.826360120641958,688,32568.545392661,33052.4243028441,1485.88489774983,54.2662408021,1,1.7508408111244e-13,"SAI_narrative","r_fixed_0.9"
"Virtue","~~","Relativism",0.518105381353422,0.391758579674959,0.644452183031885,688,32695.6132131287,33179.4921233119,1612.95271821757,1112.454303033,1,6.4867455616213e-244,"SAI_narrative","r_fixed_0.9"
"Hedonism","~~","Utilitarianism",0.779783357428044,0.71382144802993,0.845745266826158,692,33079.7311234185,33548.8351050464,2005.07062850736,260.8963249374,5,2.52108707950988e-54,"SAI_narrative","factor_merge"
"Hedonism","~~","Contractualism",0.703271576246538,0.614943437717048,0.791599714776027,692,33200.7116809603,33669.8156625882,2126.05118604913,315.8851474902,5,3.84275202644519e-66,"SAI_narrative","factor_merge"
"Hedonism","~~","Deontology",0.786142244864512,0.712555767217457,0.859728722511568,692,32851.9024895079,33321.0064711359,1777.24199459679,168.6320379482,5,1.42873006985827e-34,"SAI_narrative","factor_merge"
"Hedonism","~~","Virtue",0.546529547011283,0.43753438663987,0.655524707382697,692,33528.3175875046,33997.4215691325,2453.65709259342,NA,5,NA,"SAI_narrative","factor_merge"
"Hedonism","~~","Relativism",0.742785249102314,0.66767042594236,0.817900072262269,692,33133.8743567042,33602.9783383321,2059.21386179302,350.1099182469,5,1.65744322902857e-73,"SAI_narrative","factor_merge"
"Utilitarianism","~~","Contractualism",0.766075587172074,0.693699575825998,0.83845159851815,692,33292.7467396925,33761.8507213205,2218.08624478138,337.9494615183,5,6.87310247909022e-71,"SAI_narrative","factor_merge"
"Utilitarianism","~~","Deontology",0.809814676274555,0.741008403520408,0.878620949028702,692,32918.0376415677,33387.1416231956,1843.37714665654,212.3097967568,5,6.59036382518359e-44,"SAI_narrative","factor_merge"
"Utilitarianism","~~","Virtue",0.560223689766879,0.441041839836666,0.679405539697091,692,33646.1710364422,34115.2750180701,2571.51054153102,509.1384792143,5,8.50380196748226e-108,"SAI_narrative","factor_merge"
"Utilitarianism","~~","Relativism",0.790161477577513,0.729943578064038,0.850379377090987,692,33227.7540807907,33696.8580624186,2153.09358587956,255.8833678748,5,3.00328286157931e-53,"SAI_narrative","factor_merge"
"Contractualism","~~","Deontology",0.800843647561447,0.72412933169855,0.877557963424345,692,32882.2929090366,33351.3968906645,1807.63241412545,176.9608521279,5,2.38459887534313e-36,"SAI_narrative","factor_merge"
"Contractualism","~~","Virtue",0.527459310405305,0.415817173850495,0.639101446960115,692,33636.2532276395,34105.3572092675,2561.59273272838,509.2732003831,5,7.95299088960303e-108,"SAI_narrative","factor_merge"
"Contractualism","~~","Relativism",0.726751514336688,0.64871500011,0.804788028563377,692,33321.3445437921,33790.4485254201,2246.68404888099,347.2031833353,5,7.00209694045012e-73,"SAI_narrative","factor_merge"
"Deontology","~~","Virtue",0.676303257759267,0.591731802578064,0.76087471294047,692,33144.0185687745,33613.1225504024,2069.35807386337,364.4498454598,5,1.35383911218371e-76,"SAI_narrative","factor_merge"
"Deontology","~~","Relativism",0.728509417870082,0.630658715098207,0.826360120641958,692,33068.5121163432,33537.6160979711,1993.85162143207,255.2322685234,5,4.14318081157706e-53,"SAI_narrative","factor_merge"
"Virtue","~~","Relativism",0.518105381353422,0.391758579674959,0.644452183031885,692,33715.7777996439,34184.8817812719,2641.11730473281,686.2118520983,5,4.70319527394324e-146,"SAI_narrative","factor_merge"
"Hedonism","~~","Utilitarianism",0.747168843160236,0.696435634239909,0.797902052080564,688,62154.04729491,62725.377919472,1649.06461125634,116.8232191481,1,3.13830110805268e-27,"SAI_descriptive","r_fixed_0.9"
"Hedonism","~~","Contractualism",0.634510724308526,0.563271737942183,0.705749710674869,688,62273.6559019429,62844.986526505,1768.67321828929,332.0685810857,1,3.40605640757973e-74,"SAI_descriptive","r_fixed_0.9"
"Hedonism","~~","Deontology",0.738338689162324,0.685468260088561,0.791209118236086,688,62154.5847311279,62725.9153556899,1649.60204747424,90.0288967552,1,2.34706847830372e-21,"SAI_descriptive","r_fixed_0.9"
"Hedonism","~~","Virtue",0.482272630481506,0.401794926353391,0.562750334609622,688,62434.5296819371,63005.8603064991,1929.54699828345,543.9131849392,1,2.65541873888195e-120,"SAI_descriptive","r_fixed_0.9"
"Hedonism","~~","Relativism",0.665105573852675,0.595827141516381,0.734384006188968,688,62240.509515791,62811.8401403531,1735.52683213742,265.7256277096,1,9.69431573091255e-60,"SAI_descriptive","r_fixed_0.9"
"Utilitarianism","~~","Contractualism",0.659625553882064,0.597373796624275,0.721877311139853,688,62259.7307240209,62831.061348583,1754.7480403673,528.9811962805,1,4.7053886365829e-117,"SAI_descriptive","r_fixed_0.9"
"Utilitarianism","~~","Deontology",0.738918598177317,0.684549503099507,0.793287693255127,688,62165.3176133158,62736.6482378779,1660.33492966219,127.6757145675,1,1.32165888781304e-29,"SAI_descriptive","r_fixed_0.9"
"Utilitarianism","~~","Virtue",0.541743096835758,0.467623747625976,0.61586244604554,688,62387.1016201659,62958.4322447279,1882.11893651223,510.3896450269,1,5.21721971540698e-113,"SAI_descriptive","r_fixed_0.9"
"Utilitarianism","~~","Relativism",0.705634847489349,0.649357052888106,0.761912642090592,688,62208.6923662421,62780.0229908041,1703.70968258844,228.0336691116,1,1.6002005112169e-51,"SAI_descriptive","r_fixed_0.9"
"Contractualism","~~","Deontology",0.733467180191834,0.673897906149737,0.793036454233931,688,62166.3187601831,62737.6493847451,1661.33607652946,96.6435824209,1,8.30009784552613e-23,"SAI_descriptive","r_fixed_0.9"
"Contractualism","~~","Virtue",0.524908253214296,0.443705266017973,0.606111240410619,688,62397.9871870768,62969.3178116389,1893.00450342319,489.7393556443,1,1.62377327800012e-108,"SAI_descriptive","r_fixed_0.9"
"Contractualism","~~","Relativism",0.650961778560385,0.57447506076116,0.727448496359611,688,62265.7575538734,62837.0881784355,1760.77487021979,1105.6307086069,1,1.97280977701242e-242,"SAI_descriptive","r_fixed_0.9"
"Deontology","~~","Virtue",0.507106285682045,0.418066980699042,0.596145590665047,688,62411.4987371301,62982.8293616922,1906.51605347648,402.4175960418,1,1.6392994750119e-89,"SAI_descriptive","r_fixed_0.9"
"Deontology","~~","Relativism",0.733164908248614,0.672201024413788,0.794128792083441,688,62168.0174237635,62739.3480483256,1663.03474010987,138.2331498834,1,6.48037280898427e-32,"SAI_descriptive","r_fixed_0.9"
"Virtue","~~","Relativism",0.410405442850257,0.321839866859855,0.498971018840659,688,62526.3320505281,63097.6626750902,2021.34936687451,640.3974164738,1,2.73846780388674e-141,"SAI_descriptive","r_fixed_0.9"
"Hedonism","~~","Utilitarianism",0.747168843160236,0.696435634239909,0.797902052080564,692,63125.5867858172,63679.472200469,2628.60410216362,518.7083818118,5,7.30498099233545e-110,"SAI_descriptive","factor_merge"
"Hedonism","~~","Contractualism",0.634510724308526,0.563271737942183,0.705749710674869,692,63518.9197446519,64072.8051593037,3021.9370609983,892.2399211256,5,1.27222393649232e-190,"SAI_descriptive","factor_merge"
"Hedonism","~~","Deontology",0.738338689162324,0.685468260088561,0.791209118236086,692,62928.4580515758,63482.3434662275,2431.47536792213,475.7464485148,5,1.36958556602425e-100,"SAI_descriptive","factor_merge"
"Hedonism","~~","Virtue",0.482272630481506,0.401794926353391,0.562750334609622,692,63992.6821948548,64546.5676095066,3495.69951120118,1358.562476904,5,1.31009675943895e-291,"SAI_descriptive","factor_merge"
"Hedonism","~~","Relativism",0.665105573852675,0.595827141516381,0.734384006188968,692,63425.8559875049,63979.7414021566,2928.87330385123,976.8501141437,5,6.17428497198344e-209,"SAI_descriptive","factor_merge"
"Utilitarianism","~~","Contractualism",0.659625553882064,0.597373796624275,0.721877311139853,692,63862.9069461538,64416.7923608056,3365.92426250018,663.43153441,5,3.95501455429596e-141,"SAI_descriptive","factor_merge"
"Utilitarianism","~~","Deontology",0.738918598177317,0.684549503099507,0.793287693255127,692,63280.7363689299,63834.6217835816,2783.75368527623,591.1936657879,5,1.61637460830662e-125,"SAI_descriptive","factor_merge"
"Utilitarianism","~~","Virtue",0.541743096835758,0.467623747625976,0.61586244604554,692,64030.0120652029,64583.8974798546,3533.02938154924,590.6109925345,5,2.15987048463523e-125,"SAI_descriptive","factor_merge"
"Utilitarianism","~~","Relativism",0.705634847489349,0.649357052888106,0.761912642090592,692,63691.7662715026,64245.6516861544,3194.78358784898,878.0431428121,5,1.50289864917295e-187,"SAI_descriptive","factor_merge"
"Contractualism","~~","Deontology",0.733467180191834,0.673897906149737,0.793036454233931,692,63143.2517042966,63697.1371189483,2646.26902064295,512.0595585152,5,1.99077002357529e-108,"SAI_descriptive","factor_merge"
"Contractualism","~~","Virtue",0.524908253214296,0.443705266017973,0.606111240410619,692,63974.9446954414,64528.8301100931,3477.96201178774,653.9998526165,5,4.32426552494352e-139,"SAI_descriptive","factor_merge"
"Contractualism","~~","Relativism",0.650961778560385,0.57447506076116,0.727448496359611,692,63772.386740811,64326.2721554628,3275.40405715743,NA,5,NA,"SAI_descriptive","factor_merge"
"Deontology","~~","Virtue",0.507106285682045,0.418066980699042,0.596145590665047,692,63969.5168672264,64523.4022818782,3472.53418357281,696.8400230725,5,2.36863639774545e-148,"SAI_descriptive","factor_merge"
"Deontology","~~","Relativism",0.733164908248614,0.672201024413788,0.794128792083441,692,63197.6323634411,63751.5177780929,2700.64967978747,654.3803494913,5,3.578213488369e-139,"SAI_descriptive","factor_merge"
"Virtue","~~","Relativism",0.410405442850257,0.321839866859855,0.498971018840659,692,64405.137801379,64959.0232160307,3908.15511772534,794.4347521791,5,1.85025073007533e-169,"SAI_descriptive","factor_merge"
