Submission id,Participant id,Status,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Total rejections,Approval rate,Fluent languages,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status,Custom study tncs accepted at
633841d63cb448194e01594d,631b20fe907d287dc6c1ea1e,RETURNED,2022-10-01T13:34:17.840000Z,,,2025-09-03T08:57:02.240719Z,,,2265,,,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,Not Applicable
633841f171bc4c52720a3cef,5f1338a87447d0308e865fd0,APPROVED,2022-10-01T13:39:47.965000Z,2022-10-01T14:01:49.157000Z,2022-10-01T14:01:49.625000Z,2022-10-01T14:01:49.557438Z,1322.0,CSWUVDXK,1415,9.0,99.0,"Esperanto, English",20,Prefer not to say,Mixed,United States,United States,United States,English,Yes,Part-Time,
633841fc860de55b78ca7147,6037be2fdb9042087f4af9b5,APPROVED,2022-10-01T13:35:00.054000Z,2022-10-01T13:47:38.688000Z,2022-10-01T13:47:39.222000Z,2022-10-01T13:47:39.157052Z,759.0,CSWUVDXK,323,0.0,100.0,English,31,Female,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED,
6338423f383c7ed9ce6285f7,62c41fe598ab94de4d4f021e,APPROVED,2022-10-01T13:36:08.219000Z,2022-10-01T13:56:12.403000Z,2022-10-01T13:56:12.886000Z,2022-10-01T13:56:12.820009Z,1205.0,CSWUVDXK,289,2.0,100.0,"English, Twi",26,Male,Black,DATA_EXPIRED,United States,United States,English,Yes,DATA_EXPIRED,
63384277d146e1c85fc45597,595b93be7882150001240e21,APPROVED,2022-10-01T13:37:00.329000Z,2022-10-01T13:55:53.272000Z,2022-10-01T13:55:53.785000Z,2022-10-01T13:55:53.725572Z,1133.0,CSWUVDXK,1636,0.0,100.0,English,64,Male,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED,
633844ca86a835f0e5213472,62d6c2cd1416387d1e7d691a,TIMED-OUT,2022-10-01T13:47:06.860000Z,,,2025-09-03T08:57:02.245890Z,92257796.0,,383,,,DATA_EXPIRED,DATA_EXPIRED,DATA_EXPIRED,DATA_EXPIRED,DATA_EXPIRED,DATA_EXPIRED,DATA_EXPIRED,DATA_EXPIRED,DATA_EXPIRED,DATA_EXPIRED,Not Applicable
63384586075a83cfd57a4d5e,61647caff869db29c54fde2b,APPROVED,2022-10-01T13:50:01.402000Z,2022-10-01T14:06:36.413000Z,2022-10-01T14:06:36.913000Z,2022-10-01T14:06:36.849272Z,996.0,CSWUVDXK,166,2.0,99.0,English,23,Female,White,United States,United States,United States,English,No,Part-Time,
63384b73c128543253344a46,602454a47d0d7d121a1e444b,RETURNED,2022-10-01T14:25:15.937000Z,,,2025-09-03T08:57:02.241865Z,,,2316,,,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,Not Applicable
63384bbb1636eb8ff7374229,5a6f1ccade1f390001dbd8b7,APPROVED,2022-10-01T14:16:32.004000Z,2022-10-01T14:35:15.660000Z,2022-10-01T14:35:16.195000Z,2022-10-01T14:35:16.136875Z,1124.0,CSWUVDXK,3005,3.0,100.0,English,39,Male,White,United States,United States,United States,English,No,Full-Time,
633856153e79425f36f71159,6119d21fe73ebd5e62616b0f,APPROVED,2022-10-01T15:04:01.007000Z,2022-10-01T15:32:53.589000Z,2022-10-01T15:32:54.166000Z,2022-10-01T15:32:54.104439Z,1733.0,CSWUVDXK,34,0.0,100.0,"English, Spanish",20,Female,White,Cuba,United States,Cuba,English,Yes,Unemployed (and job seeking),
